road,tract
196,70
122,44
196,70
221,70
122,46
122,46
122,46
210,70
223,75
122,46
222,75
322,75
122,46
223,75
103,38
224,75
223,75
324,78
227,78
223,75
229,78
229,78
122,44
223,75
229,78
223,75
122,44
122,44
122,44
104,41
104,41
112,41
325,79
104,41
195,41
195,41
326,38
326,38
233,79
233,79
114,38
233,79
326,38
326,38
233,79
326,38
233,79
230,79
231,78
224,78
326,38
103,37
230,79
42,40
231,78
224,78
224,78
231,78
194,68
103,36
35,68
240,82
328,74
104,41
329,82
104,41
330,82
240,82
192,68
240,82
231,78
198,68
240,83
231,78
239,68
42,40
240,83
42,40
231,78
243,83
231,78
42,40
243,83
42,40
231,78
231,78
240,84
239,68
104,41
239,77
104,41
118,44
104,41
239,69
331,70
104,41
192,70
239,70
239,70
195,41
195,41
239,71
195,41
239,71
195,41
195,44
239,70
332,38
239,71
332,38
72,1
72,1
332,38
72,1
332,38
72,1
114,38
332,38
72,1
35,14
332,38
76,17
25,14
40,14
182,38
326,38
182,38
182,38
40,14
35,24
332,38
326,38
35,24
91,24
35,24
35,24
103,38
35,24
40,24
35,55
105,37
35,51
35,51
103,38
103,38
35,51
103,38
35,51
103,38
103,38
103,38
35,51
35,51
103,38
103,38
122,46
35,52
122,46
40,52
122,46
35,52
333,81
192,53
103,38
51,1
72,1
103,38
112,41
51,1
60,1
51,1
112,41
51,1
112,44
112,44
60,1
51,1
1,1
82,1
122,44
122,44
122,44
122,44
122,44
72,0
72,0
122,44
76,31
72,0
76,31
72,0
122,46
72,0
122,46
104,41
104,41
112,41
72,0
36,0
36,0
36,0
104,41
104,41
36,0
72,0
72,0
72,0
36,1
0,1
195,41
111,42
334,40
0,1
48,1
212,19
335,19
41,19
111,42
334,40
211,19
212,19
334,40
41,19
212,19
336,19
334,40
337,19
111,42
36,19
38,19
111,42
338,19
338,19
111,42
338,19
107,35
114,40
111,76
107,39
111,76
111,76
72,18
111,76
111,76
72,18
76,39
72,18
72,18
76,39
72,0
72,0
103,40
76,31
42,40
72,0
72,0
42,40
72,0
